AGENCE;EXPL;CLIENT;CODAPE;IDP;ANOMALIE_AGE;ANOMALIE_DATE_EER;ANOMALIE_CIN;;
1017;SR;580977;Particuliers non commerciaux;934036;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581015;Particuliers non commerciaux;936655;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;581018;Particuliers non commerciaux;936777;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;581215;Particuliers non commerciaux;946227;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581114;Particuliers non commerciaux;943554;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581038;Particuliers non commerciaux;938158;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581362;Particuliers non commerciaux;951378;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581339;Particuliers non commerciaux;950554;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581335;Particuliers non commerciaux;950438;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581382;Particuliers non commerciaux;952189;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581273;Particuliers non commerciaux;948403;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581453;Particuliers non commerciaux;955696;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;581628;Particuliers non commerciaux;965305;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581527;Particuliers non commerciaux;959741;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;581633;Particuliers non commerciaux;1034044;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;581640;Particuliers non commerciaux;965873;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;581576;Particuliers non commerciaux;961946;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581591;Particuliers non commerciaux;962528;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581561;Particuliers non commerciaux;961029;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;581558;Particuliers non commerciaux;961020;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;581545;Particuliers non commerciaux;960894;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;581569;Particuliers non commerciaux;961633;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581668;Particuliers non commerciaux;967387;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581768;Particuliers non commerciaux;974474;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581800;Particuliers non commerciaux;976649;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581837;Particuliers non commerciaux;978564;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;581908;Particuliers non commerciaux;981808;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581883;Particuliers non commerciaux;980968;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581865;Particuliers non commerciaux;980093;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;581972;Particuliers non commerciaux;984609;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581947;Particuliers non commerciaux;983786;;;ANOMALIE - Document d'identité expiré;;
1017;SR;581916;Particuliers non commerciaux;982364;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;582657;Particuliers non commerciaux;993741;;;ANOMALIE - Document d'identité expiré;;
1017;SR;582712;Particuliers non commerciaux;994161;;;ANOMALIE - Document d'identité expiré;;
1017;SR;582117;Particuliers non commerciaux;987432;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;582508;Particuliers non commerciaux;991735;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;582018;Particuliers non commerciaux;985169;;;ANOMALIE - Document d'identité expiré;;
1017;SR;582906;Particuliers non commerciaux;996426;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;583052;Particuliers non commerciaux;998205;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;583029;Particuliers non commerciaux;997666;;;ANOMALIE - Document d'identité expiré;;
1017;SR;583202;Particuliers non commerciaux;1000591;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;583234;Particuliers non commerciaux;1001906;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;583243;Particuliers non commerciaux;1002319;;;ANOMALIE - Document d'identité expiré;;
1017;SR;583371;Particuliers non commerciaux;1010039;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;583378;Particuliers non commerciaux;1010344;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;583568;Particuliers non commerciaux;1017953;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;583527;Particuliers non commerciaux;1016429;;;ANOMALIE - Document d'identité expiré;;
