20169,BOA MG,NULL,[4,2026-02-28,95,2026-03-17 06:54:00.4282650 +00:00,F,P
20170,BOA MG,NULL,AUD,2026-02-28,96,2026-03-17 06:54:00.4282650 +00:00,F,P
20171,BOA MG,NULL,NI,2026-02-28,72,2026-03-17 06:54:00.4282650 +00:00,F,P
20172,BOA MG,NULL,0K,2026-02-28,92,2026-03-17 06:54:00.4282650 +00:00,F,P
20173,BOA MG,NULL,27,2026-02-28,92,2026-03-17 06:54:00.4282650 +00:00,F,P
20174,BOA MG,NULL,[9,2026-02-28,79,2026-03-17 06:54:00.4282650 +00:00,F,P
20175,BOA MG,NULL,57,2026-02-28,100,2026-03-17 06:54:00.4282650 +00:00,F,P
20176,BOA MG,NULL,BDB,2026-02-28,90,2026-03-17 06:54:00.4282650 +00:00,F,P
20177,BOA MG,NULL,AQ,2026-02-28,62,2026-03-17 06:54:00.4282650 +00:00,F,P
20178,BOA MG,NULL,4},2026-02-28,0,2026-03-17 06:54:00.4282650 +00:00,F,P
20179,BOA MG,NULL,}F,2026-02-28,85,2026-03-17 06:54:00.4282650 +00:00,F,P
20180,BOA MG,NULL,AUG,2026-02-28,55,2026-03-17 06:54:00.4282650 +00:00,F,P
20181,BOA MG,NULL,BBM,2026-02-28,100,2026-03-17 06:54:00.4282650 +00:00,F,P
20182,BOA MG,NULL,7W,2026-02-28,86,2026-03-17 06:54:00.4282650 +00:00,F,P
20183,BOA MG,NULL,}L,2026-02-28,58,2026-03-17 06:54:00.4282650 +00:00,F,P
20184,BOA MG,NULL,J4,2026-02-28,88,2026-03-17 06:54:00.4282650 +00:00,F,P
20185,BOA MG,NULL,82,2026-02-28,73,2026-03-17 06:54:00.4282650 +00:00,F,P
20186,BOA MG,NULL,BLQ,2026-02-28,92,2026-03-17 06:54:00.4282650 +00:00,F,P
20187,BOA MG,NULL,O},2026-02-28,100,2026-03-17 06:54:00.4282650 +00:00,F,P
20188,BOA MG,NULL,BCR,2026-02-28,94,2026-03-17 06:54:00.4282650 +00:00,F,P
20189,BOA MG,NULL,AML,2026-02-28,66,2026-03-17 06:54:00.4282650 +00:00,F,P
20190,BOA MG,NULL,BDJ,2026-02-28,100,2026-03-17 06:54:00.4282650 +00:00,F,P
20191,BOA MG,NULL,J3,2026-02-28,92,2026-03-17 06:54:00.4282650 +00:00,F,P
20192,BOA MG,NULL,V8,2026-02-28,100,2026-03-17 06:54:00.4282650 +00:00,F,P
20193,BOA MG,NULL,BSV,2026-02-28,92,2026-03-17 06:54:00.4282650 +00:00,F,P
